path,category,brightness,contrast,laplacian_var
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20110222-PICT6562.JPG,acinonyx jubatus,73.91554641723633,63.9645483880236,149.56002084872722
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140107-PICT0076.JPG,acinonyx jubatus,150.31211932894283,55.113595397629894,893.5613202731196
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0220.JPG,acinonyx jubatus,49.0377458990132,59.55345239765419,385.111399961246
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0221.JPG,acinonyx jubatus,48.988345453070934,59.596956620314096,380.983016964806
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0222.JPG,acinonyx jubatus,48.954635712025826,59.59399926815881,382.8573773134078
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0223.JPG,acinonyx jubatus,48.318317949626746,59.31107117071367,377.1607821253651
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0224.JPG,acinonyx jubatus,48.37958682758234,59.32799027256624,377.2486464705179
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0225.JPG,acinonyx jubatus,48.49862933326926,59.331160071879715,378.74492030203686
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0226.JPG,acinonyx jubatus,50.14231755815071,59.88784303131376,397.35095900954605
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0227.JPG,acinonyx jubatus,50.04477657331315,59.924750122925715,395.1442898218319
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0228.JPG,acinonyx jubatus,50.03436879245162,59.94395048749889,395.6449058188783
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0229.JPG,acinonyx jubatus,49.83272246551807,59.88911244430964,391.0561411304174
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0230.JPG,acinonyx jubatus,49.85137977780982,59.9013175835223,393.217567421559
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0231.JPG,acinonyx jubatus,50.0063945257433,59.87376914333339,397.2879062117409
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0232.JPG,acinonyx jubatus,58.42100907203159,61.51299038350751,585.5054778808774
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0233.JPG,acinonyx jubatus,58.344344973487765,61.57152376392448,581.8855215435714
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0234.JPG,acinonyx jubatus,58.25196125989203,61.57916173128393,583.745933929005
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140307-PICT0235.JPG,acinonyx jubatus,60.988321924460145,62.36875492269798,627.862807674096
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140329-PICT0142.JPG,acinonyx jubatus,60.993022390226514,63.83631557094242,356.9796815030587
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140329-PICT0143.JPG,acinonyx jubatus,61.05140263059881,63.835711766950844,360.3786188805121
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140329-PICT0144.JPG,acinonyx jubatus,61.143713505622834,63.839283387917824,361.39621364670086
balanced_dataset\acinonyx jubatus\acinonyx jubatus_20140428-PICT0669.JPG,acinonyx jubatus,98.84749046304665,83.15584285220378,136.12807125731428
